topic,topic_id,bias_id,title,source,bias,desc.
Campaign Finance - moderate,3,3,West Wing Reportedly Frustrated with VP Harris,AllSides Headline Roundup,moderate,Reports across the spectrum have detailed frustration within the White House over purported dysfunction with Vice President Kamala Harris and her team....
Campaign Finance- Left,3,2,Harris Trip To Vietnam Delayed After Possible ‘Health Incident’ In Hanoi,HuffPost, Left,Vice President Kamala Harris was delayed from departing on a trip to Vietnam after the State Department issued a warning of a “possible anomalous health...
Campaign Finance- Right,3,5,White House Announces Plan To Open Up Union Options To Federal Employees,One America News Network (OAN), Right,"As strikes sweep across the U.S., Kamala Harris is encouraging more federal employees to join unions. She elaborated on the policies in a Labor Task Force..."
Campaign Finance - moderate,3,3,"Joe Biden's Approval Rating Remains Dismal, Kamala Harris' Is Even Worse",Newsweek,moderate,President Joe Biden and Vice President Kamala Harris are continuing to suffer heavily in the polls following a week in which their party...
Campaign Finance- Lean Left,3,1,Harris uses convening power to expand her political network,Politico, Lean Left,"The vice president is building relationships with a wide array of Democratic allies, which she could leverage in the administration — and a future presidential..."
Campaign Finance- Right,3,5,Harris Holds Double Standard On Abortions And Vaccinations,One America News Network (OAN), Right,"Kamala Harris delivered remarks on personal rights on abortions during a women’s reproductive rights roundtable, but failed to link the point to the issue of..."
Campaign Finance - moderate,3,3,"We’re Tracking Trump’s And Harris’s Popularity Ahead Of The 2024 Presidential Election. (Yes, It’s Early.)",FiveThirtyEight,moderate,Former President Donald Trump ended his presidency more unpopular than any of the last 12 presidents at the end of their first terms and he is still...
Campaign Finance- Lean Left,3,1,What Kamala Harris’ Law School Years Reveal About Her Politics,Politico, Lean Left,"The signs in downtown San Francisco that day, outside of the University of California Hastings College of the Law, might as well have been plucked from today’s..."
Campaign Finance- Lean Right,3,4,"George W. Bush, Kamala Harris point to unity after 9/11 in memorial speeches",New York Post (News), Lean Right,"The chimes of the Bells of Remembrance at the memorial service for the victims and heroes of Flight 93 in Shanksville, PA, was followed Saturday by a..."
Campaign Finance - moderate,3,3,Did Kamala Harris’ YouTube Show Feature Child Actors?,The Dispatch Fact Check,moderate,Following the premiere of the YouTube Originals series Get Curious with Vice President Harris—a show in which Vice President Kamala Harris...
Coronavirus- Lean Left,4,1,Biden to host leaders of Canada and Mexico at White House next week,CBS News (Online), Lean Left,President Biden will host Canadian Prime Minister Justin Trudeau and Mexican President Andrés Manuel López Obrador at the White House next week for the first...
Coronavirus- Lean Right,4,4,Lines of cars wait to enter US as pandemic travel ban is lifted,New York Post (News), Lean Right,The US reopened its borders Monday after 20 months of travel restrictions — immediately creating wild miles-long lines of cars waiting to cross over from...
Coronavirus - moderate,4,3,What are President Biden's challenges at the border?,BBC News,moderate,"US President Joe Biden entered the White House promising to tackle immigration challenges that have remained unsolved for decades.

Yet since he took office..."
Coronavirus- Lean Left,4,1,U.S. lifts travel ban on 33 countries as Europe cases surge,Washington Post, Lean Left,As the United States reopens its international borders Monday to travelers from 33 countries who have proof of vaccination and a recent negative ...
Coronavirus- Right,4,5,Border Arrests Hit All-Time High,National Review, Right,U.S. authorities detained more than 1.7 million illegal immigrants at the southern border during the 2021 fiscal year that ended in September as arrests by...
Coronavirus - moderate,4,3,What’s happening at the U.S.-Mexico border in 7 charts,Pew Research Center,moderate,"The U.S. Border Patrol reported more than 1.6 million encounters with migrants along the U.S.-Mexico border in the 2021 fiscal year, more than quadruple the..."
Coronavirus- Lean Left,4,1,Border apprehensions hit yearly high as another migrant caravan gathers in Mexico,NBC News (Online), Lean Left,"Apprehensions of undocumented migrants crossing the southern U.S. border passed 1.7 million in fiscal year 2021 to hit an all-time high, according to Customs..."
Coronavirus- Right,4,5,Biden Admin Will Reinstate Tump’s Remain In Mexico Policy In November,The Daily Caller, Right,"The Biden administration is planning to reinstate former President Donald Trump’s “Remain in Mexico” policy in November, CBS News reported on Friday.

A..."
Coronavirus - moderate,4,3,"US-Canada border: After 19 months, families to reunite",BBC News,moderate,"On 8 November, the US-Canadian border will open both ways to non-essential travel for the first time in 19 months. The closure has kept thousands of bi-..."
Coronavirus- Left,4,2,Biden Is About to Restart One of the Cruelest Parts of Trump’s Anti-Immigrant Regime,Mother Jones, Left,"Under a court-mandated order, the Biden administration is gearing up to bring back a Trump-era border policy that pushed thousands of non-Mexican asylum..."
Coronavirus- Right,4,5,US to reopen land borders next month for fully vaccinated,Fox News (Online News), Right,"After a 19-month freeze due to the COVID-19 pandemic, the U.S. is set to announce that it will reopen land borders with Canada and ..."
Coronavirus - moderate,4,3,US Lifts Travel Ban For Vaccinated Foreigners,AllSides Headline Roundup,moderate,"The US lifted its international travel ban Monday for the first time since March 2020, allowing foreigners from 33 nations as well as passengers from Canada..."
Coronavirus- Left,4,2,US will re-open Canadian and Mexican borders to fully vaccinated visitors,CNN (Online News), Left,"The United States plans to ease restrictions on travel for fully vaccinated visitors from Canada and Mexico starting in early November, relaxing bans that have..."
Coronavirus- Right,4,5,REPORT: Biden Might Keep ‘More Humane’ Version Of Trump Immigration Policy,The Daily Caller, Right,"President Joe Biden is reportedly considering revamping former President Donald Trump’s “Remain in Mexico” policy into “a more humane version,” multiple people..."
Coronavirus - moderate,4,3,The U.S.-Mexico Border - Where Reality Clashes With American Idealism,Forbes,moderate,The continuing migrant saga at the U.S.—Mexico border seems to have boxed the Biden Administration into a corner where it is not effectively and humanely...
Criminal Justice- Left,5,2,Violence erupts on Poland-Belarus border as Polish guards fire water cannon on migrants throwing rocks,CNN (Online News), Left,"Violence erupted at the Poland-Belarus border on Tuesday, as migrants desperate to cross into the European Union threw stones at Polish..."
Criminal Justice- Lean Right,5,4,"Italy Mandates All Workers to Show COVID-19 ‘Green Pass,’ Prompting Protests",The Epoch Times, Lean Right,"The Italian government imposed one of the world’s strictest COVID-19 measures on Friday, requiring all workers in Italy to show a COVID-19..."
Criminal Justice - moderate,5,3,Poland blocks hundreds of migrants at Belarus border,BBC News,moderate,"Poland says it has repelled attempts by migrants to enter the country at its eastern border with Belarus, warning that thousands more were on the way.

Video..."
Criminal Justice- Lean Left,5,1,Italy Puts in Force Tough New Law Requiring Workers to Test or Vaccinate,New York Times (News), Lean Left,Italy on Friday set a new bar for major Western democracies seeking to move beyond the pandemic by enacting a sweeping law that requires the nation’s entire...
Criminal Justice- Right,5,5,UK Government Approves Coronavirus Vaccines for 12 to 15 Year Olds to ‘Reduce Disruption’ in Schools,Breitbart News, Right,The UK’s chief medical officer announced on Monday that children from the ages of 12 to 15 years old will be offered coronavirus vaccines in England....
Criminal Justice - moderate,5,3,Europe plans border tax on carbon. Will others join the club?,Christian Science Monitor,moderate,"The COP26 global climate summit is, by design, about bargaining and voluntary steps, not mandates and penalties. But Europe is poised to add a tough-love..."
Criminal Justice- Lean Left,5,1,France Is Outraged by U.S. Nuclear Submarine Deal With Australia,New York Times (News), Lean Left,"France reacted with fury on Thursday to President Biden’s announcement of a deal to help Australia deploy nuclear-powered submarines, calling it a “unilateral..."
Criminal Justice- Right,5,5,Thousands of anti-vaccine pass protestors take to streets of Paris - hours after neighbouring Italy starts demanding digital certificate to enter gyms and restaurants,Daily Mail, Right,Protesters took to the streets across France on Saturday for the fourth weekend in a row to rally against a new health pass needed to enter a cafe or...
Criminal Justice - moderate,5,3,The Wind Turbine Failures Behind Europe's Energy Crisis Are a Warning for America,Newsweek,moderate,"The ongoing energy crisis in Europe has shown how nations will experience ""growing pains"" from a switch to renewable sources of energy including wind..."
Criminal Justice- Lean Left,5,1,Macron tells critics: vaccine passport will protect all our freedoms,The Guardian, Lean Left,"When the Great Plague struck Marseille in 1720, killing more than half of the city’s population, travellers were ordered to carry a “bill of health” and ships..."
Criminal Justice- Right,5,5,Death toll from Europe floods tops 150 as water recedes,Breitbart News, Right,The death toll from disastrous flooding in Western Europe rose above 150 on Saturday as rescue workers toiled to clear up the devastation revealed by receding...
Criminal Justice - moderate,5,3,Hundreds of port workers in Italy are striking against a new vaccine mandate,Quartz,moderate,"Italy’s new covid-19 rules went into effect on Oct. 15, prompting labor strikes and protests across the country. The mandate, one of the strictest in the world..."
Criminal Justice- Lean Left,5,1,"As Floodwaters Ebb in Europe, Death Toll Passes 165",New York Times (News), Lean Left,"As waters receded on Saturday, Germans in the country’s west surveyed scenes of destruction, grieved over a rising death toll and confronted questions about..."
Criminal Justice- Right,5,5,He Was Murdered Over a Lie: What the Killing of Samuel Paty Means for Free Expression,The Daily Signal, Right,"Samuel Paty was decapitated on Oct. 16, 2020, outside the middle school in a north Paris suburb where he had taught history and civics for five years. The..."
Criminal Justice - moderate,5,3,Italy's Strict New Vaccine Mandate Prompts Protests,AllSides Headline Roundup,moderate,"Italy's COVID-19 vaccine mandate, believed to be among the strictest government COVID-19 mandates in the world, has been met by protests. The newest rule ..."
Education- Lean Left,6,1,"As supply lines strain, some corporations rewrite production playbook",Washington Post, Lean Left,"The pandemic caught Stanley Black & Decker midway through an overhaul of its 18-country supply chain.

Executives at the toolmaker’s New Britain, Conn.,..."
Education- Lean Right,6,4,"Vaccine Mandate Threatens Major Trucking Disruption, Industry Insiders Say",The Epoch Times, Lean Right,American truckers don’t like taking orders. But the Biden administration has increased pressure on some of them to take the vaccine—willing or unwilling....
Education - moderate,6,3,Warehouses are overwhelmed by America's shopping spree,NPR (Online News),moderate,"Doug Kiersey has been building, buying and leasing warehouses for almost 40 years. He's never seen a time like this.

""It's completely unprecedented,"" says..."
Education- Lean Left,6,1,China has a big inflation problem and it's pushing up prices worldwide,CNN Business, Lean Left,"The cost of goods leaving China's factories surged by another record rate last month, and there are increasing signs that consumers are starting to feel the..."
Education- Lean Right,6,4,White House Orders Temporary Lift in Cargo Weight Capacity for Trucks,The Epoch Times, Lean Right,"President Joe Biden plans to sign an executive order to temporarily lift weight limits so trucks can carry more cargo, White House Press Secretary..."
Education - moderate,6,3,What the Ever Given Taught the World,Foreign Policy,moderate,"On March 29, after six days being stuck in the Suez Canal and blocking all other ships from sailing through the vital passage, the Ever Given was..."
Education- Lean Left,6,1,Biden’s vaccine mandate has cargo giants in a pre-holiday panic,Politico, Lean Left,"A trade group for air cargo giants like UPS and FedEx is sounding the alarm over an impending Dec. 8 vaccine deadline imposed by President Joe Biden,..."
Education- Lean Right,6,4,"UPS, FedEx, Walmart commit to 24/7 hours to alleviate LA port crunch",New York Post (News), Lean Right,"The White House says the Port of Los Angeles, UPS, FedEx and Walmart will commit to 24/7 work hours to alleviate a supply-chain crunch that threatens to leave..."
Education - moderate,6,3,Biden rolls out multibillion-dollar plan to upgrade aging U.S. ports after passage of infrastructure bill,CNBC,moderate,The Biden administration outlined several initiatives on Tuesday aimed at addressing immediate supply-chain challenges and other disruptions affecting global...
Education- Lean Left,6,1,Why some say the worst of the supply chain woes are near an end,CNN Business, Lean Left,Forget about The Grinch: It looks like supply chain disruptions may steal Christmas this year. But will these problems be resolved by early 2022?...
Education- Lean Right,6,4,"UPS, FedEx, Walmart commit to 24/7 hours to alleviate LA port crunch",New York Post (News), Lean Right,"The White House says the Port of Los Angeles, UPS, FedEx and Walmart will commit to 24/7 work hours to alleviate a supply-chain crunch that threatens to leave..."
Education - moderate,6,3,Tariffs to Tackle Climate Change Gain Momentum. The Idea Could Reshape Industries.,Wall Street Journal (News),moderate,"Governments in the U.S., Europe and other developed nations are embarking on a climate change experiment: using tariffs on trade to cut carbon..."
Education- Lean Left,6,1,Backlog of cargo ships at southern California ports reaches an all-time high,The Guardian, Lean Left,The backlog of cargo ships in southern California reached an all-time high this week as a supply chain crisis continues to overwhelm America’s...
Education- Right,6,5,"Biden to Address Supply Chain Logjam: Expanded Port Hours, Extra Shifts for Longshoremen",CNSNews.com, Right,"As supply chain disruptions make national headlines, leaving American businesses with fewer imported products to sell, President Biden today will meet with..."
Education - moderate,6,3,U.S. and EU agree to ease metal tariffs imposed by Trump administration,CNBC,moderate,"The United States and the European Union on Saturday announced an easing of a trade dispute that started during the Trump administration.

The..."
Elections- Lean Left,7,1,Justice Department sues Texas over restrictive voting law,NBC News (Online), Lean Left,The Justice Department is suing Texas over key components of the state's Republican-led voting law that federal officials say are in...
Elections- Right,7,5,"In ‘Deep Blue’ New York, Voters Reject Democrats’ Push for Election Changes",The Daily Signal, Right,"In one of the bluest states in the nation, voters soundly rejected proposed changes to election law that congressional Democrats are trying to impose..."
Elections - moderate,7,3,Rigged Voting Machines? Chinese Hacking? Local Fraud? Officials Kept Digging,Newsweek,moderate,"On Monday, November 16th, Attorney General William Barr and FBI Director Christopher Wray were worried enough about Donald Trump..."
Elections- Lean Left,7,1,Democrats Face Economic Gut-Check After GOP Taps Voters’ Angst,Bloomberg, Lean Left,"Democrats will argue for months about what led to their defeat at the ballot box on Tuesday -- whether it was their messaging, their candidates or their..."
Elections- Lean Right,7,4,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in..."
Elections - moderate,7,3,U.S. Justice Dept sues Texas over law curbing voting,Reuters,moderate,"The U.S. Justice Department filed a lawsuit against Texas on Thursday over a state law that places strict curbs on voting by mail, in the latest effort by the..."
Elections- Lean Left,7,1,Republicans Block a Second Voting Rights Bill in the Senate,New York Times (News), Lean Left,"Senate Republicans on Wednesday blocked legislation to restore parts of the landmark Voting Rights Act weakened by Supreme Court rulings, making it the second..."
Elections- Right,7,5,Justice Department sues Texas over election integrity legislation,Fox News (Online News), Right,"The Department of Justice announced Thursday that it filed a lawsuit against Texas, targeting a state law that proponents say aims to make..."
Elections - moderate,7,3,Justice Department Sues Texas Over Voting Law,AllSides Headline Roundup,moderate,The Justice Department filed a lawsuit on Thursday alleging that Texas’ controversial voting law violates the Civil Rights Act of 1964 and the Voting Rights...
Elections- Left,7,2,"Republicans Once Supported the Voting Rights Act. Today, They Voted Against its Restoration.",Mother Jones, Left,"On Wednesday afternoon, GOP senators blocked Democrats from advancing a key voting rights bill, the John Lewis Voting Rights Advancement Act, marking the..."
Elections- Lean Right,7,4,Senate GOP blocks federal election law debate for fourth time this year,New York Post (News), Lean Right,"Senate Democrats tried and failed once again Wednesday to begin debate on a bill that would radically revamp America’s election laws, as all but two..."
Elections - moderate,7,3,Media coverage of Tuesday’s election focuses on the dire state of Democrats,Poynter,moderate,"Doomsday for Democrats; a rebirth for Republicans.

That’s, basically, the media’s take on Tuesday’s Election Day. And that take was essentially based on two..."
Elections- Lean Left,7,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the..."
Elections- Right,7,5,"‘Our Broken Elections’: Who Broke Them and Why, and How to Fix Them",The Daily Signal, Right,"Election integrity is a fundamental requirement of a functioning democratic republic.

In the freest nation in the world, our system of government and our..."
Elections - moderate,7,3,U.S. Senate Democrats fail in latest bid to debate voting rights bill,Reuters,moderate,"U.S. Senate Democrats on Wednesday failed to advance voting-rights legislation for the fourth time this year due to overwhelming Republican opposition, raising..."
Environment- Lean Left,8,1,Deficit ‘prediction’ for infrastructure bill varies widely from estimates,PolitiFact, Lean Left,"The day after the House passed an infrastructure bill and sent it to President Joe Biden to be signed, conservative podcast host Dan Bongino attacked..."
Environment- Right,8,5,Joe Biden ‘Got a Handle on COVID’,Washington Free Beacon, Right,"CLAIM:

""Biden got a handle on COVID.""

— David Corn, D.C. bureau chief of Mother Jones

The lib reporter made the assertion on Twitter in..."
Environment - moderate,8,3,Electric Vehicle Tax Credits in Democratic Plan,FactCheck.org,moderate,"The House’s current Build Back Better plan calls for extending a $7,500 tax credit for the purchase of electric vehicles, and it includes an additional $4,500..."
Environment- Left,8,2,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...
Environment- Right,8,5,Democrat Cindy Axne Falsely Claims Biden’s $1.75T Agenda Will Cost Iowans ‘Literally Nothing’,Breitbart Fact Check, Right,"CLAIM: Democrat Rep. Cindy Axne (D-IA) claimed last week that President Joe Biden’s Build Back Better agenda will cost Iowans “literally nothing.”

VERDICT:..."
Environment - moderate,8,3,Can Colorado Hospitals Turn Away Unvaccinated Patients?,The Dispatch Fact Check,moderate,"An article from Red Voice Media, self-described as being owned by “patriots” and fighting “false narratives against conservatives,” claims that..."
Environment- Lean Left,8,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the..."
Environment- Right,8,5,For Whom Do the Covid “Fact Checkers” Really Work?,Brownstone Institute, Right,"There are two types of COVID19 survivors— those who have documented recovery from sars-cov-2 (either PCR, antigen or serology + tests) or those who have self-..."
Environment - moderate,8,3,Aaron Rodgers’ Inaccurate COVID-19 Claims,FactCheck.org,moderate,"Aaron Rodgers, the star quarterback of the Green Bay Packers, made headlines when he contracted COVID-19 and then defended his decision not to get vaccinated..."
Environment- Lean Left,8,1,Canceling student loan debt would cost the federal government billions,USA TODAY, Lean Left,"Since President Joe Biden took office, his administration has canceled billions of dollars in student loan debt. Most recently, in early October..."
Environment- Lean Right,8,4,Beware People Trying to Dismiss Jack Dorsey's Inflation Analysis as Disinformation,Reason, Lean Right,"I hope you squirreled away that cool 16 cents you saved on your Fourth of July barbeque this year. Across the board, prices seem to be going up..."
Environment - moderate,8,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...
Environment- Lean Left,8,1,Unpacking the noise around Dr. Anthony Fauci and beagle experiments,PolitiFact, Lean Left,"If you’ve seen media reports or social media postings about beagle puppies and Dr. Anthony Fauci, the White House’s chief medical adviser, you might be..."
Environment- Lean Right,8,4,Journalist Butchery of School Board Protests Upending Politics in Virginia and Elsewhere,Reason, Lean Right,The media pile-on atop Sen. Ted Cruz (R–Texas) for his comments Wednesday characterizing mock Nazi salutes at school board meetings as First...
Environment - moderate,8,3,Biden Botches Virginia Election History,FactCheck.org,moderate,"Seeking to deflect the significance of Democrat Terry McAuliffe’s loss in the Virginia governor’s race to Republican Glenn Youngkin, President Joe Biden..."
Facts and Fact Checking- Lean Left,9,1,The I-word looms: McCarthy faces internal pressure to go harder at Biden on Afghanistan,Politico, Lean Left,"As hard as Kevin McCarthy has hammered the White House over the chaotic and deadly U.S. withdrawal from Afghanistan, he’s under rising pressure from his right..."
Facts and Fact Checking- Right,9,5,Joe Biden Has Been Derelict In His Duty. He Is Unfit To Lead. He Should Be Impeached,The Federalist, Right,"The deadly attacks in Afghanistan should be the final straw for Biden, whose incompetence has now cost the lives of at least a dozen American soldiers.

Joe..."
Facts and Fact Checking - moderate,9,3,What did Trump’s 2nd impeachment accomplish?,Yahoo! The 360,moderate,Former President Donald Trump was acquitted by the Senate on Saturday of the charge that he incited the insurrection on Jan. 6. The impeachment trial ended...
Facts and Fact Checking- Lean Left,9,1,Impeachment witness Gordon Sondland sues Pompeo and U.S. over $1.8 million in legal fees,CBS News (Online), Lean Left,"Gordon Sondland, the former U.S. Ambassador to the European Union who was a key witness in the 2019 impeachment proceedings against former..."
Facts and Fact Checking- Lean Right,9,4,Marjorie Taylor Greene Says She'll Submit Impeachment Documents Against Biden,Newsmax (News), Lean Right,"Rep. Marjorie Taylor Greene says she will submit articles of impeachment against President Joe Biden on Friday.

The Georgia Republican's announcement..."
Facts and Fact Checking - moderate,9,3,"Four impeachments, zero removals: Sign of cracks in Constitution?",Christian Science Monitor,moderate,"A key check on presidential power doesn’t seem to be working the way the Founding Fathers envisioned. We look where a cycle of partisanship may head.

After..."
Facts and Fact Checking- Left,9,2,The Theory That Explains How Senate Republicans Justify Acquitting Trump,Slate, Left,"On the most recent episode of Amicus, Dahlia Lithwick spoke with renowned communications researcher and campaign adviser Anat Shenker-Osorio about the..."
Facts and Fact Checking- Right,9,5,4 Factors to Watch in Cuomo Impeachment Probe,The Daily Signal, Right,"The Democrat-controlled New York State Assembly appears poised to move forward with impeachment proceedings against Gov. Andrew Cuomo, a fellow Democrat, after..."
