topic_id,bias_id,topic,title,source,bias,desc.
5,2,Criminal Justice- Left,Violence erupts on Poland-Belarus border as Polish guards fire water cannon on migrants throwing rocks,CNN (Online News), Left,"Violence erupted at the Poland-Belarus border on Tuesday, as migrants desperate to cross into the European Union threw stones at Polish..."
5,1,Criminal Justice- Lean Left,Italy Puts in Force Tough New Law Requiring Workers to Test or Vaccinate,New York Times (News), Lean Left,Italy on Friday set a new bar for major Western democracies seeking to move beyond the pandemic by enacting a sweeping law that requires the nation’s entire...
5,1,Criminal Justice- Lean Left,France Is Outraged by U.S. Nuclear Submarine Deal With Australia,New York Times (News), Lean Left,"France reacted with fury on Thursday to President Biden’s announcement of a deal to help Australia deploy nuclear-powered submarines, calling it a “unilateral..."
5,1,Criminal Justice- Lean Left,Macron tells critics: vaccine passport will protect all our freedoms,The Guardian, Lean Left,"When the Great Plague struck Marseille in 1720, killing more than half of the city’s population, travellers were ordered to carry a “bill of health” and ships..."
5,1,Criminal Justice- Lean Left,"As Floodwaters Ebb in Europe, Death Toll Passes 165",New York Times (News), Lean Left,"As waters receded on Saturday, Germans in the country’s west surveyed scenes of destruction, grieved over a rising death toll and confronted questions about..."
6,1,Education- Lean Left,"As supply lines strain, some corporations rewrite production playbook",Washington Post, Lean Left,"The pandemic caught Stanley Black & Decker midway through an overhaul of its 18-country supply chain.

Executives at the toolmaker’s New Britain, Conn.,..."
6,1,Education- Lean Left,China has a big inflation problem and it's pushing up prices worldwide,CNN Business, Lean Left,"The cost of goods leaving China's factories surged by another record rate last month, and there are increasing signs that consumers are starting to feel the..."
6,1,Education- Lean Left,Biden’s vaccine mandate has cargo giants in a pre-holiday panic,Politico, Lean Left,"A trade group for air cargo giants like UPS and FedEx is sounding the alarm over an impending Dec. 8 vaccine deadline imposed by President Joe Biden,..."
6,1,Education- Lean Left,Why some say the worst of the supply chain woes are near an end,CNN Business, Lean Left,Forget about The Grinch: It looks like supply chain disruptions may steal Christmas this year. But will these problems be resolved by early 2022?...
6,1,Education- Lean Left,Backlog of cargo ships at southern California ports reaches an all-time high,The Guardian, Lean Left,The backlog of cargo ships in southern California reached an all-time high this week as a supply chain crisis continues to overwhelm America’s...
7,1,Elections- Lean Left,Justice Department sues Texas over restrictive voting law,NBC News (Online), Lean Left,The Justice Department is suing Texas over key components of the state's Republican-led voting law that federal officials say are in...
7,1,Elections- Lean Left,Democrats Face Economic Gut-Check After GOP Taps Voters’ Angst,Bloomberg, Lean Left,"Democrats will argue for months about what led to their defeat at the ballot box on Tuesday -- whether it was their messaging, their candidates or their..."
7,1,Elections- Lean Left,Republicans Block a Second Voting Rights Bill in the Senate,New York Times (News), Lean Left,"Senate Republicans on Wednesday blocked legislation to restore parts of the landmark Voting Rights Act weakened by Supreme Court rulings, making it the second..."
7,2,Elections- Left,"Republicans Once Supported the Voting Rights Act. Today, They Voted Against its Restoration.",Mother Jones, Left,"On Wednesday afternoon, GOP senators blocked Democrats from advancing a key voting rights bill, the John Lewis Voting Rights Advancement Act, marking the..."
7,1,Elections- Lean Left,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the..."
8,1,Environment- Lean Left,Deficit ‘prediction’ for infrastructure bill varies widely from estimates,PolitiFact, Lean Left,"The day after the House passed an infrastructure bill and sent it to President Joe Biden to be signed, conservative podcast host Dan Bongino attacked..."
8,2,Environment- Left,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...
8,1,Environment- Lean Left,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the..."
8,1,Environment- Lean Left,Canceling student loan debt would cost the federal government billions,USA TODAY, Lean Left,"Since President Joe Biden took office, his administration has canceled billions of dollars in student loan debt. Most recently, in early October..."
8,1,Environment- Lean Left,Unpacking the noise around Dr. Anthony Fauci and beagle experiments,PolitiFact, Lean Left,"If you’ve seen media reports or social media postings about beagle puppies and Dr. Anthony Fauci, the White House’s chief medical adviser, you might be..."
9,1,Facts and Fact Checking- Lean Left,The I-word looms: McCarthy faces internal pressure to go harder at Biden on Afghanistan,Politico, Lean Left,"As hard as Kevin McCarthy has hammered the White House over the chaotic and deadly U.S. withdrawal from Afghanistan, he’s under rising pressure from his right..."
9,1,Facts and Fact Checking- Lean Left,Impeachment witness Gordon Sondland sues Pompeo and U.S. over $1.8 million in legal fees,CBS News (Online), Lean Left,"Gordon Sondland, the former U.S. Ambassador to the European Union who was a key witness in the 2019 impeachment proceedings against former..."
9,2,Facts and Fact Checking- Left,The Theory That Explains How Senate Republicans Justify Acquitting Trump,Slate, Left,"On the most recent episode of Amicus, Dahlia Lithwick spoke with renowned communications researcher and campaign adviser Anat Shenker-Osorio about the..."
9,1,Facts and Fact Checking- Lean Left,Republicans' opinions of Trump's role in Capitol riots softened between Jan. 6 and acquittal vote,USA TODAY, Lean Left,"After a mob stormed the Capitol on Jan. 6 in a deadly attempt to overturn an election President Donald Trump falsely claimed was stolen, Republican lawmakers..."
9,1,Facts and Fact Checking- Lean Left,Trump’s team glosses over his Jan. 6 tirade,Associated Press Politics & Fact Check, Lean Left,"Donald Trump’s legal team thoroughly distorted his remarks from the rally that prefaced the storming of the Capitol last month, seizing on the one instance..."
10,1,Free Speech- Lean Left,Social Security COLA largest in decades as inflation jumps,Associated Press Politics & Fact Check, Lean Left,Millions of retirees on Social Security will get a 5.9% boost in benefits for 2022. The biggest cost-of-living adjustment in 39 years follows a burst...
10,1,Free Speech- Lean Left,"Biden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats",Washington Post, Lean Left,"President Biden on Friday fired Social Security Commissioner Andrew Saul, a holdover from the Trump administration who had alienated crucial Democratic..."
10,1,Free Speech- Lean Left,No changes planned to Social Security benefits for immigrant workers,USA TODAY, Lean Left,"The claim: The Social Security Administration will allow workers in the country illegally to claim benefits
In a post rapidly gaining traction on Facebook, a..."
10,2,Free Speech- Left,Social Security could come to a screeching halt,CNN (Online News), Left,Donald Trump once claimed that he could shoot someone in the middle of Fifth Avenue in New York City and not lose any voters. He's now seeing whether the same...
10,2,Free Speech- Left,"Fact-checking Biden's speech on Social Security, fracking and crime",CNN (Online News), Left,"During a speech Monday billed as one focused on public safety and law enforcement, Democratic presidential nominee Joe Biden took several swipes at President..."
11,1,Gun Control and Gun Rights- Lean Left,St. Jude Hoards Billions While Many of Its Families Drain Their Savings,ProPublica, Lean Left,"A series of sharp knocks on his driver’s side window startled Jason Burt awake.

It was the middle of the night on a Saturday in 2016. Burt was sleeping in..."
11,1,Gun Control and Gun Rights- Lean Left,Supreme Court weighs case involving FBI surveillance of Muslim community in California,CBS News (Online), Lean Left,"The Supreme Court on Monday grappled with whether to allow a case brought by three Muslim men against the FBI to proceed, with the men arguing the..."
11,2,Gun Control and Gun Rights- Left,The Parable of the Drowning Man in the Age of COVID,Slate, Left,"The joke goes something like this: A ferocious storm sweeps through a town, and in the aftermath, a man clambers onto his roof to escape the floodwaters. As he..."
11,1,Gun Control and Gun Rights- Lean Left,Biden says Pope Francis told him he's a 'good Catholic' amid criticism over his abortion views,ABC News (Online), Lean Left,"As President Joe Biden embarked on only his second overseas trip, he started with a personally poignant audience with Pope Francis on..."
11,1,Gun Control and Gun Rights- Lean Left,Biden’s Vatican meeting with Pope Francis runs into overtime,Associated Press Politics & Fact Check, Lean Left,"Sitting face to face across a desk, President Joe Biden and Pope Francis engaged in extended talks on climate change, poverty and the coronavirus pandemic..."
12,2,Healthcare- Left,What Would It Look Like If We Treated Climate Change as an Actual Emergency?,Current Affairs, Left,"As the dust settles on COP26, the 26th United Nations Climate Change Conference, the results do not look good. Despite a flurry of headline-grabbing pledges,..."
12,2,Healthcare- Left,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...
12,1,Healthcare- Lean Left,"Twitter flags GOP lawmaker's anime video depicting him killing Ocasio-Cortez, attacking Biden as 'hateful conduct'",NBC News (Online), Lean Left,"Twitter added a warning label Monday to a tweet from a Republican lawmaker that depicted an animated killing of Rep. Alexandria Ocasio-Cortez, D-N.Y..."
12,2,Healthcare- Left,Virginia governor election poised to cripple trans rights in America,MSNBC, Left,"On Tuesday, Virginia residents will go to the polls to elect state legislators and decide who will be the next occupant of the governor’s mansion. The race..."
12,2,Healthcare- Left,"'Let's go Brandon,' explained",CNN (Online News), Left,"On Friday night, a Southwest Airlines pilot allegedly said ""Let's go Brandon"" over the plane intercom, causing a stir on board and prompting an investigation..."
13,1,Immigration- Lean Left,Pfizer Will Allow Its Covid Pill to Be Made and Sold Cheaply in Poor Countries,New York Times (News), Lean Left,Pfizer announced a deal on Tuesday to allow its promising Covid-19 treatment to be made and sold inexpensively in 95 poorer nations that are home to more than...
13,1,Immigration- Lean Left,"Federal appeals court halts Biden administration’s vaccine requirement, delivering policy a major blow",Washington Post, Lean Left,"A federal appeals court in New Orleans has halted the Biden administration’s vaccine or testing requirement for private businesses, delivering another..."
13,1,Immigration- Lean Left,Is this the fifth COVID-19 wave? Experts fear we may simply come to call it 'winter',USA TODAY, Lean Left,"For the first time in two months, COVID-19 case counts and deaths are rising again in most U.S. states, especially in the northern tier and Rocky Mountains,..."
13,1,Immigration- Lean Left,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....
13,1,Immigration- Lean Left,I wasn’t sure about getting my kids COVID vaccines — until they exposed Grandma to the virus,The Philadelphia Inquirer, Lean Left,"Frantically, I shot out of bed. My stomach was in knots, as it often was during those first few months of motherhood. My imagination on overdrive, I braced for..."
14,1,Inequality- Lean Left,South Carolina Republican introduces bill to decriminalize marijuana at federal level,NBC News (Online), Lean Left,"Rep. Nancy Mace, a first-term Republican from South Carolina, introduced a bill Monday to decriminalize cannabis at the federal level, which she..."
14,2,Inequality- Left,Schumer and Senate Democrats unveil proposal to federally decriminalize marijuana,CNN (Online News), Left,Senate Majority Leader Chuck Schumer and a group of other Senate Democrats introduced draft legislation on Wednesday that would decriminalize marijuana at...
14,1,Inequality- Lean Left,"Senate marijuana bill: Schumer, Democrats to introduce bill to federally decriminalize cannabis",USA TODAY, Lean Left,"Senate Majority Leader Chuck Schumer, D-N.Y., plans to introduce legislation that would decriminalize marijuana on a federal level.

The Cannabis..."
14,1,Inequality- Lean Left,Democratic senators move toward ending the federal prohibition on cannabis,ABC News (Online), Lean Left,"For the first time in Senate history, Democrats on Wednesday will move toward ending the federal prohibition on cannabis, removing it from the federal list of..."
14,1,Inequality- Lean Left,Schumer Will Propose Federal Decriminalization of Marijuana,New York Times (News), Lean Left,"Senator Chuck Schumer, the majority leader, will offer draft legislation to remove marijuana from the list of controlled substances and begin regulating and..."
15,2,LGBT Rights- Left,What Would It Look Like If We Treated Climate Change as an Actual Emergency?,Current Affairs, Left,"As the dust settles on COP26, the 26th United Nations Climate Change Conference, the results do not look good. Despite a flurry of headline-grabbing pledges,..."
15,2,LGBT Rights- Left,How you could see cleaner air and water with Biden’s new infrastructure law,Vox, Left,President Joe Biden signed into law on Monday a bipartisan infrastructure bill that includes $350 billion to address long-ignored environmental...
15,2,LGBT Rights- Left,What the world did and didn’t accomplish at COP26,Vox, Left,The high-stakes COP26 climate change talks in Glasgow concluded on Saturday evening with the strongest government commitments to fighting climate change in...
15,2,LGBT Rights- Left,COP26 climate deal includes historic reference to fossil fuels but doesn't meet urgency of the crisis,CNN (Online News), Left,Nearly 200 nations reached a climate agreement on Saturday at COP26 with an unprecedented reference to the role of fossil fuels in the climate crisis...
15,2,LGBT Rights- Left,"Leaders at COP26 Are 'Massively Killing the Paris Agreement,' Critics Say as Talks Drag On Past Deadline",Common Dreams, Left,"After nearly two weeks of negotiations, the United Nations Climate Change Conference in Glasgow, Scotland was expected to extend into the weekend Friday as..."
16,1,Media Bias- Lean Left,Biden made huge promises to HBCUs. Can he sell its students on compromise?,Politico, Lean Left,"It’s Sunday, just after 11 a.m. and dozens of current and former Howard University students and alumni sit on black folding chairs under a white tent outside..."
16,1,Media Bias- Lean Left,"Bomb threats evacuate Ivy League campuses after similar calls to Miami University, Ohio University",USA TODAY, Lean Left,"Multiple Ivy League college campuses were evacuated on Sunday following reports of bomb threats, days after several Ohio universities received similar threats..."
16,2,Media Bias- Left,"California law school, named for a man who funded the killing of Native Americans, moves to change its name",CNN (Online News), Left,"A San Francisco law school named for a man who orchestrated a massacre of Native Americans is moving to change its name.

The University of California..."
16,1,Media Bias- Lean Left,‘I Don’t Want to Die for It’: School Board Members Face Rising Threats,New York Times (News), Lean Left,"It was only days after Sami Al-Abdrabbuh was re-elected to the school board in Corvallis, Ore., that the text messages arrived.

The first, he said, was a..."
16,2,Media Bias- Left,One Small Town’s Big Battle Over Critical Race Theory,BuzzFeed News, Left,"Last year, after George Floyd’s murder by police, Kara Fikrig, a white 28-year-old working on her doctorate in entomology at Cornell University (“..."
17,1,Middle East- Lean Left,"U.S. Retail Sales Jump by Most Since March, Topping Forecasts",Bloomberg, Lean Left,"U.S. retail sales rose in October for a third month, signaling households continue to spend even with the fastest inflation in decades. 

The value of..."
17,1,Middle East- Lean Left,'A dog that's been beat too much': Try to feel what America's veterans have experienced,USA TODAY, Lean Left,"“I’ve never seen one history book that tells how anybody feels,” Bob Dylan said in 1963.

This Veterans Day, we are not involved in a major war for..."
17,1,Middle East- Lean Left,Biden’s vaccine mandate has cargo giants in a pre-holiday panic,Politico, Lean Left,"A trade group for air cargo giants like UPS and FedEx is sounding the alarm over an impending Dec. 8 vaccine deadline imposed by President Joe Biden,..."
17,1,Middle East- Lean Left,Why some say the worst of the supply chain woes are near an end,CNN Business, Lean Left,Forget about The Grinch: It looks like supply chain disruptions may steal Christmas this year. But will these problems be resolved by early 2022?...
17,1,Middle East- Lean Left,CDC issues new COVID-19 guidance for the holiday season,CBS News (Online), Lean Left,New holiday COVID-19 guidance from the Centers for Disease Control and Prevention urges eligible people to get vaccinated against the...
18,2,Polarization- Left,The Co-Founder Of Snopes Wrote Dozens Of Plagiarized Articles For The Fact-Checking Site,BuzzFeed News, Left,"David Mikkelson, the co-founder of the fact-checking website Snopes, has long presented himself as the arbiter of truth online, a bulwark in the fight..."
18,1,Polarization- Lean Left,"‘They’re Killing People’? Biden Isn’t Quite Right, but He’s Not Wrong.",New York Times (News), Lean Left,"It was a stunning thing to say, even if it is in many ways true.

“They’re killing people,” President Biden said loudly enough to be heard under the roar of..."
18,1,Polarization- Lean Left,COVID-19: the first study to look at whether fake news actually changes people’s behaviour,The Conversation, Lean Left,“The spread of Covid-19 is linked to 5G mobile networks.” “Place a halved onion in the corner of your room to catch the Covid-19 germs.” “Sunny...
18,2,Polarization- Left,The long tail of Trump's Big Lie: 9 ways it continues to affect American politics,CNN (Online News), Left,"Donald Trump isn't moving on. Neither is his party.More than six months after his defeat, Trump continues to declare that the 2020 presidential..."
18,1,Polarization- Lean Left,Go read this investigation into the online slander industry and who’s making money on it,The Verge, Lean Left,"Websites promising to “fix” an online reputation that has been damaged by so-called gripe sites often are run by the same people, a new investigation in the..."
19,1,Race and Racism- Lean Left,NAACP urges pro athletes not to sign with teams in Texas over abortion and voting laws,CBS News (Online), Lean Left,The NAACP is calling on professional athletes to reconsider signing with professional sports teams in Texas to protest the state's controversial voting and...
19,2,Race and Racism- Left,Kareem Abdul-Jabbar is right to shame NBA anti-vaxxers,MSNBC, Left,A recent Rolling Stone report sheds light on a powerful faction of anti-science NBA players who oppose mandatory vaccinations and other...
19,2,Race and Racism- Left,Barstool Sports is a cesspool of misogyny and bigotry,Media Matters, Left,"Barstool Sports founder and frequent Fox News guest Dave Portnoy said he was in talks with a “major sport” to air games,..."
19,1,Race and Racism- Lean Left,"Simone Biles withdraws from Olympics team final after vault miss, proving she's the GOAT",Ana Marie Cox, Lean Left,It took the lowest vault score of her Olympic gymnastics career for Simone Biles to seal her position as the greatest of all time. She gave up having...
19,1,Race and Racism- Lean Left,At least 100 of 613 US athletes unvaccinated as Tokyo Olympics begin,The Guardian, Lean Left,"About 100 of the 613 US athletes arriving in Tokyo for the Olympics are unvaccinated, the US Olympic and Paralympic Committee’s medical chief said hours before..."
20,1,Religion and Faith- Lean Left,How Republicans used Senate delays to make changes at U.S. product safety regulator. Critics call it a ‘power grab’ that puts public at risk.,Washington Post, Lean Left,A short-lived Republican majority atop the nation’s product safety regulator — the result of Senate delays in confirming Democratic nominees — recently pushed...
20,1,Religion and Faith- Lean Left,Whistleblower to Senate: Don't trust Facebook,Politico, Lean Left,"Whistleblower Frances Haugen came to the Senate on Tuesday with a message about Facebook and its leaders: Don't trust them.

The former project manager whose..."
20,1,Religion and Faith- Lean Left,"Facebook says it will ""pause"" Instagram Kids after backlash",CBS News (Online), Lean Left,"Facebook said Monday that it will ""pause"" its development of Instagram Kids, a social media service for children under 13, after pushback from child advocates..."
20,2,Religion and Faith- Left,How the American South is paying the price for Europe's 'green' energy,CNN (Online News), Left,"Andrea Macklin never turns off his TV. It’s the only way to drown out the noise from the wood mill bordering his backyard, the jackhammer sound of the plant..."
20,1,Religion and Faith- Lean Left,"As office life beckons again, the pandemic's digital nomads weigh benefits of a return",NBC News (Online), Lean Left,"For the past year, Jeromy Sonne has been on the road with his wife, Kelsey, and their 2-year-old son, Emmett, living and working in short-term home rentals..."
21,1,Role of Government- Lean Left,I wasn’t sure about getting my kids COVID vaccines — until they exposed Grandma to the virus,The Philadelphia Inquirer, Lean Left,"Frantically, I shot out of bed. My stomach was in knots, as it often was during those first few months of motherhood. My imagination on overdrive, I braced for..."
21,1,Role of Government- Lean Left,St. Jude Hoards Billions While Many of Its Families Drain Their Savings,ProPublica, Lean Left,"A series of sharp knocks on his driver’s side window startled Jason Burt awake.

It was the middle of the night on a Saturday in 2016. Burt was sleeping in..."
21,2,Role of Government- Left,What the end of the Covid-19 pandemic could look like,CNN (Online News), Left,"Covid-19 is here to stay.

It's highly unlikely that the United States, let alone the world, will be able to completely eliminate the coronavirus that causes..."
21,1,Role of Government- Lean Left,"Britain authorizes Merck’s molnupiravir, the world’s first approval of oral covid-19 treatment pill",Washington Post, Lean Left,"Regulators in Britain granted approval to the experimental drug molnupiravir from U.S. pharmaceutical giant Merck on Thursday, marking the first authorization..."
21,2,Role of Government- Left,Doctors are often unaware of the only treatment for early Covid-19,CNN (Online News), Left,"On September 17, Mayra Arana made the phone call she says saved her life.

Arana had been vaccinated against Covid-19, but she developed a breakthrough..."
22,2,Taxes- Left,Kyle Rittenhouse Doesn’t Need to Be Acquitted to Win,Mother Jones, Left,"Kyle Rittenhouse was 17 when he killed two Black Lives Matter protesters in Kenosha, Wisconsin, and wounded another. Rittenhouse, who is now 18, has been..."
22,1,Taxes- Lean Left,Appeals court temporarily blocks Jan. 6 committee from obtaining Trump White House records,NBC News (Online), Lean Left,A federal appeals court Thursday granted former President Donald Trump's request to temporarily block the National Archives from turning over his White...
22,2,Taxes- Left,"Kyle Rittenhouse Testified He ""Didn't Do Anything Wrong"" When He Fatally Shot Two People",BuzzFeed News, Left,"Kyle Rittenhouse, the teenager who shot at protesters in Kenosha, Wisconsin, last year and killed two people, took the stand in his murder trial Wednesday,..."
22,1,Taxes- Lean Left,The Demand for Money Behind Many Police Traffic Stops,New York Times (News), Lean Left,"Harold Brown’s contribution to the local treasury began as so many others have in Valley Brook, Okla.: A police officer saw that the light above his license..."
22,1,Taxes- Lean Left,"Louisiana Deputy Who Slammed a Black Woman on the Pavement Was Named in Multiple Suits, Records Show",ProPublica, Lean Left,A Jefferson Parish sheriff’s deputy with a long history of excessive-force complaints is the officer seen in a viral video on Sept. 20 slamming 34-...
23,1,Trade- Lean Left,Taliban blames ISIS-K for deadly attack on hospital in Afghanistan's capital,CBS News (Online), Lean Left,Two explosions rocked Kabul on Tuesday in an attack targeting a large military hospital in the Afghan capital. A Taliban official confirmed that at least seven...
23,1,Trade- Lean Left,David Amess: Counterterror police take over investigation into death of Tory MP,The Independent, Lean Left,"Counterterror police are investigating the death of the Conservative MP Sir David Amess, who was stabbed while meeting constituents at a routine public..."
23,1,Trade- Lean Left,"Bombing outside Kabul’s main mosque leaves at least 2 dead, Taliban says",Washington Post, Lean Left,"A bombing outside Kabul’s main mosque killed at least two Afghan civilians and left others wounded, the Taliban says.

The explosion, at Eid Gah Mosque, is..."
23,1,Trade- Lean Left,Long-Secret FBI Report Reveals New Connections Between 9/11 Hijackers and Saudi Religious Officials in U.S.,ProPublica, Lean Left,A long-suppressed FBI report on Saudi Arabia’s connections to the 9/11 plot has revealed that Saudi religious officials stationed in the United States had more...
23,2,Trade- Left,FBI Releases Declassified 9/11 Document That Fails to Prove Saudi Government Complicity,Slate, Left,"The FBI ended the 20th anniversary of the Sept. 11, 2001 attacks by releasing a newly declassified document regarding its investigation into support given to..."
24,2,Voting Rights and Voter Fraud- Left,First Lawsuits Filed After Travis Scott Concert Leaves 8 Dead,HuffPost, Left,"Attendees of Travis Scott’s Astroworld music festival sued the rapper and the event’s organizer, Live Nation, on Sunday, in what are expected to be the first..."
24,2,Voting Rights and Voter Fraud- Left,Hollywood Workers Set Strike Date For Oct. 18,HuffPost, Left,"Roughly 60,000 workers in the film and television industry will go on strike next week if major Hollywood studios do not offer them a satisfying contract..."
24,1,Voting Rights and Voter Fraud- Lean Left,"3 dead, 2 critical in suspected carbon monoxide leak at Michigan country music festival",NBC News (Online), Lean Left,"Three men died while attending a country music festival in Brooklyn, Michigan, and two more were critically injured, in what is believed to be a carbon..."
24,2,Voting Rights and Voter Fraud- Left,"The court decision freeing Bill Cosby, explained as best we can",Vox, Left,"The court decision freeing Bill Cosby is a train wreck. It’s also probably correct.

Bill Cosby, the disgraced comedian who was convicted of sexual assault..."
24,1,Voting Rights and Voter Fraud- Lean Left,Bill Cosby released from prison after conviction vacated,ABC News (Online), Lean Left,"Bill Cosby was released from prison Wednesday after his conviction on sexual assault charges was overturned by Pennsylvania's highest court.

The 83-..."
26,1,SEARCH FOR ANY ISSUE- Lean Left,Biden-successor chatter grows and Harris isn’t scaring off anyone,Politico, Lean Left,President Joe Biden says he intends to run for reelection in 2024. But not all Democrats believe him. Nor are they convinced his No. 2 would be the clear heir...
26,1,SEARCH FOR ANY ISSUE- Lean Left,Biden to host leaders of Canada and Mexico at White House next week,CBS News (Online), Lean Left,President Biden will host Canadian Prime Minister Justin Trudeau and Mexican President Andrés Manuel López Obrador at the White House next week for the first...
26,1,SEARCH FOR ANY ISSUE- Lean Left,"Biden Rejects $450,000 Payments for Separated Migrants",New York Times (News), Lean Left,President Biden on Wednesday said migrants separated from family members at the border would not receive hundreds of thousands of dollars for the damage...
26,2,SEARCH FOR ANY ISSUE- Left,"'Let's go Brandon,' explained",CNN (Online News), Left,"On Friday night, a Southwest Airlines pilot allegedly said ""Let's go Brandon"" over the plane intercom, causing a stir on board and prompting an investigation..."
26,1,SEARCH FOR ANY ISSUE- Lean Left,"Family Members Separated at Border May Each Get Up to $450,000",New York Times (News), Lean Left,Migrant families separated at the border by the Trump administration may be eligible to each receive hundreds of thousands of dollars in compensation for the...
